Area_Name,Year,Group_Name,Sub_Group_Name,Trial_of_Violent_Crimes_by_Courts_By_Confession,Trial_of_Violent_Crimes_by_Courts_By_trial,Trial_of_Violent_Crimes_by_Courts_Total
Arunachal Pradesh,2001,TVC- Arson,10. Arson,0.0,3,3
Assam,2001,TVC- Arson,10. Arson,-1.0,142,147
Chandigarh,2001,TVC- Arson,10. Arson,0.0,3,3
Chhattisgarh,2001,TVC- Arson,10. Arson,22.0,41,63
Delhi,2001,TVC- Arson,10. Arson,18.0,75,93
Gujarat,2001,TVC- Arson,10. Arson,2.0,228,230
Haryana,2001,TVC- Arson,10. Arson,3.0,106,109
Jharkhand,2001,TVC- Arson,10. Arson,0.0,66,66
Karnataka,2001,TVC- Arson,10. Arson,0.0,181,181
Kerala,2001,TVC- Arson,10. Arson,2.0,92,94
Maharashtra,2001,TVC- Arson,10. Arson,4.0,666,670
Meghalaya,2001,TVC- Arson,10. Arson,0.0,8,8
Mizoram,2001,TVC- Arson,10. Arson,2.0,11,13
Nagaland,2001,TVC- Arson,10. Arson,0.0,0,0
Odisha,2001,TVC- Arson,10. Arson,0.0,190,190
Punjab,2001,TVC- Arson,10. Arson,2.0,16,18
Tamil Nadu,2001,TVC- Arson,10. Arson,34.0,395,429
Tripura,2001,TVC- Arson,10. Arson,0.0,17,17
West Bengal,2001,TVC- Arson,10. Arson,0.0,40,40
Andaman & Nicobar Islands,2002,TVC- Arson,10. Arson,0.0,1,1
Andhra Pradesh,2002,TVC- Arson,10. Arson,0.0,499,499
Assam,2002,TVC- Arson,10. Arson,5.0,125,130
Bihar,2002,TVC- Arson,10. Arson,0.0,148,148
Chandigarh,2002,TVC- Arson,10. Arson,0.0,1,1
Chhattisgarh,2002,TVC- Arson,10. Arson,30.0,55,85
Daman & Diu,2002,TVC- Arson,10. Arson,0.0,0,0
Goa,2002,TVC- Arson,10. Arson,0.0,18,18
Gujarat,2002,TVC- Arson,10. Arson,0.0,207,207
Haryana,2002,TVC- Arson,10. Arson,0.0,168,168
Himachal Pradesh,2002,TVC- Arson,10. Arson,7.0,48,55
Jammu & Kashmir,2002,TVC- Arson,10. Arson,0.0,35,35
Karnataka,2002,TVC- Arson,10. Arson,0.0,137,137
Madhya Pradesh,2002,TVC- Arson,10. Arson,0.0,696,696
Maharashtra,2002,TVC- Arson,10. Arson,2.0,684,686
Meghalaya,2002,TVC- Arson,10. Arson,0.0,4,4
Mizoram,2002,TVC- Arson,10. Arson,4.0,7,11
Nagaland,2002,TVC- Arson,10. Arson,0.0,1,1
Odisha,2002,TVC- Arson,10. Arson,0.0,218,218
Punjab,2002,TVC- Arson,10. Arson,0.0,44,44
Tamil Nadu,2002,TVC- Arson,10. Arson,32.0,495,527
Uttar Pradesh,2002,TVC- Arson,10. Arson,1.0,550,551
Uttarakhand,2002,TVC- Arson,10. Arson,0.0,17,17
West Bengal,2002,TVC- Arson,10. Arson,0.0,63,63
Andaman & Nicobar Islands,2003,TVC- Arson,10. Arson,0.0,3,3
Andhra Pradesh,2003,TVC- Arson,10. Arson,0.0,484,484
Arunachal Pradesh,2003,TVC- Arson,10. Arson,0.0,1,1
Assam,2003,TVC- Arson,10. Arson,8.0,173,181
Bihar,2003,TVC- Arson,10. Arson,0.0,233,233
Chandigarh,2003,TVC- Arson,10. Arson,0.0,2,2
Chhattisgarh,2003,TVC- Arson,10. Arson,0.0,57,57
Daman & Diu,2003,TVC- Arson,10. Arson,0.0,0,0
Gujarat,2003,TVC- Arson,10. Arson,1.0,313,314
Haryana,2003,TVC- Arson,10. Arson,0.0,122,122
Himachal Pradesh,2003,TVC- Arson,10. Arson,6.0,46,52
Jammu & Kashmir,2003,TVC- Arson,10. Arson,0.0,17,17
Jharkhand,2003,TVC- Arson,10. Arson,0.0,104,104
Karnataka,2003,TVC- Arson,10. Arson,0.0,236,236
Kerala,2003,TVC- Arson,10. Arson,2.0,128,130
Maharashtra,2003,TVC- Arson,10. Arson,0.0,663,663
Meghalaya,2003,TVC- Arson,10. Arson,0.0,2,2
Mizoram,2003,TVC- Arson,10. Arson,8.0,4,12
Nagaland,2003,TVC- Arson,10. Arson,0.0,0,0
Odisha,2003,TVC- Arson,10. Arson,0.0,246,246
Punjab,2003,TVC- Arson,10. Arson,0.0,44,44
Tamil Nadu,2003,TVC- Arson,10. Arson,9.0,404,413
Uttarakhand,2003,TVC- Arson,10. Arson,0.0,10,10
West Bengal,2003,TVC- Arson,10. Arson,0.0,82,82
Andhra Pradesh,2004,TVC- Arson,10. Arson,0.0,542,542
Arunachal Pradesh,2004,TVC- Arson,10. Arson,0.0,1,1
Assam,2004,TVC- Arson,10. Arson,20.0,173,193
Bihar,2004,TVC- Arson,10. Arson,0.0,286,286
Chandigarh,2004,TVC- Arson,10. Arson,0.0,1,1
Chhattisgarh,2004,TVC- Arson,10. Arson,7.0,70,77
Gujarat,2004,TVC- Arson,10. Arson,1.0,288,289
Himachal Pradesh,2004,TVC- Arson,10. Arson,0.0,54,54
Karnataka,2004,TVC- Arson,10. Arson,0.0,186,186
Maharashtra,2004,TVC- Arson,10. Arson,0.0,593,593
Manipur,2004,TVC- Arson,10. Arson,0.0,0,0
Meghalaya,2004,TVC- Arson,10. Arson,0.0,4,4
Mizoram,2004,TVC- Arson,10. Arson,7.0,32,39
Nagaland,2004,TVC- Arson,10. Arson,1.0,4,5
Odisha,2004,TVC- Arson,10. Arson,0.0,294,294
Punjab,2004,TVC- Arson,10. Arson,6.0,34,40
Rajasthan,2004,TVC- Arson,10. Arson,0.0,407,407
Tamil Nadu,2004,TVC- Arson,10. Arson,25.0,413,438
Uttar Pradesh,2004,TVC- Arson,10. Arson,0.0,399,399
West Bengal,2004,TVC- Arson,10. Arson,2.0,53,55
Andhra Pradesh,2005,TVC- Arson,10. Arson,0.0,612,612
Arunachal Pradesh,2005,TVC- Arson,10. Arson,0.0,3,3
Assam,2005,TVC- Arson,10. Arson,2.0,209,211
Bihar,2005,TVC- Arson,10. Arson,0.0,258,258
Chandigarh,2005,TVC- Arson,10. Arson,0.0,1,1
Chhattisgarh,2005,TVC- Arson,10. Arson,50.0,83,133
Gujarat,2005,TVC- Arson,10. Arson,1.0,208,209
Haryana,2005,TVC- Arson,10. Arson,0.0,84,84
Himachal Pradesh,2005,TVC- Arson,10. Arson,0.0,81,81
Jammu & Kashmir,2005,TVC- Arson,10. Arson,0.0,42,42
Jharkhand,2005,TVC- Arson,10. Arson,0.0,84,84
Karnataka,2005,TVC- Arson,10. Arson,0.0,193,193
Maharashtra,2005,TVC- Arson,10. Arson,0.0,622,622
Manipur,2005,TVC- Arson,10. Arson,0.0,0,0
Meghalaya,2005,TVC- Arson,10. Arson,1.0,3,4
Mizoram,2005,TVC- Arson,10. Arson,1.0,5,6
Nagaland,2005,TVC- Arson,10. Arson,0.0,0,0
Odisha,2005,TVC- Arson,10. Arson,0.0,205,205
Punjab,2005,TVC- Arson,10. Arson,0.0,25,25
Tamil Nadu,2005,TVC- Arson,10. Arson,5.0,506,511
Uttar Pradesh,2005,TVC- Arson,10. Arson,0.0,433,433
West Bengal,2005,TVC- Arson,10. Arson,0.0,59,59
Andhra Pradesh,2006,TVC- Arson,10. Arson,0.0,681,681
Arunachal Pradesh,2006,TVC- Arson,10. Arson,0.0,3,3
Assam,2006,TVC- Arson,10. Arson,5.0,228,233
Bihar,2006,TVC- Arson,10. Arson,11.0,387,398
Chandigarh,2006,TVC- Arson,10. Arson,0.0,1,1
Chhattisgarh,2006,TVC- Arson,10. Arson,25.0,75,100
Dadra & Nagar Haveli,2006,TVC- Arson,10. Arson,0.0,2,2
Daman & Diu,2006,TVC- Arson,10. Arson,0.0,2,2
Gujarat,2006,TVC- Arson,10. Arson,1.0,200,201
Himachal Pradesh,2006,TVC- Arson,10. Arson,0.0,52,52
Jammu & Kashmir,2006,TVC- Arson,10. Arson,0.0,52,52
Jharkhand,2006,TVC- Arson,10. Arson,0.0,141,141
Karnataka,2006,TVC- Arson,10. Arson,0.0,139,139
Maharashtra,2006,TVC- Arson,10. Arson,0.0,615,615
Manipur,2006,TVC- Arson,10. Arson,0.0,0,0
Meghalaya,2006,TVC- Arson,10. Arson,1.0,15,16
Mizoram,2006,TVC- Arson,10. Arson,0.0,25,25
Nagaland,2006,TVC- Arson,10. Arson,0.0,0,0
Odisha,2006,TVC- Arson,10. Arson,0.0,173,173
Rajasthan,2006,TVC- Arson,10. Arson,0.0,314,314
Uttar Pradesh,2006,TVC- Arson,10. Arson,0.0,322,322
West Bengal,2006,TVC- Arson,10. Arson,0.0,93,93
Andhra Pradesh,2007,TVC- Arson,10. Arson,0.0,861,861
Arunachal Pradesh,2007,TVC- Arson,10. Arson,0.0,3,3
Assam,2007,TVC- Arson,10. Arson,6.0,152,158
Bihar,2007,TVC- Arson,10. Arson,0.0,325,325
Chandigarh,2007,TVC- Arson,10. Arson,0.0,1,1
Chhattisgarh,2007,TVC- Arson,10. Arson,55.0,87,142
Daman & Diu,2007,TVC- Arson,10. Arson,0.0,1,1
Gujarat,2007,TVC- Arson,10. Arson,1.0,236,237
Haryana,2007,TVC- Arson,10. Arson,0.0,83,83
Himachal Pradesh,2007,TVC- Arson,10. Arson,0.0,37,37
Jammu & Kashmir,2007,TVC- Arson,10. Arson,0.0,45,45
Karnataka,2007,TVC- Arson,10. Arson,1.0,146,147
Madhya Pradesh,2007,TVC- Arson,10. Arson,0.0,615,615
Maharashtra,2007,TVC- Arson,10. Arson,0.0,600,600
Manipur,2007,TVC- Arson,10. Arson,0.0,0,0
Meghalaya,2007,TVC- Arson,10. Arson,1.0,4,5
Mizoram,2007,TVC- Arson,10. Arson,0.0,18,18
Nagaland,2007,TVC- Arson,10. Arson,0.0,0,0
Odisha,2007,TVC- Arson,10. Arson,0.0,159,159
Tamil Nadu,2007,TVC- Arson,10. Arson,0.0,288,288
West Bengal,2007,TVC- Arson,10. Arson,0.0,124,124
Andhra Pradesh,2008,TVC- Arson,10. Arson,0.0,651,651
Arunachal Pradesh,2008,TVC- Arson,10. Arson,0.0,0,0
Assam,2008,TVC- Arson,10. Arson,3.0,138,141
Bihar,2008,TVC- Arson,10. Arson,0.0,418,418
Chhattisgarh,2008,TVC- Arson,10. Arson,31.0,81,112
Gujarat,2008,TVC- Arson,10. Arson,5.0,206,211
Haryana,2008,TVC- Arson,10. Arson,0.0,118,118
Himachal Pradesh,2008,TVC- Arson,10. Arson,0.0,46,46
Jammu & Kashmir,2008,TVC- Arson,10. Arson,0.0,23,23
Jharkhand,2008,TVC- Arson,10. Arson,3.0,68,71
Karnataka,2008,TVC- Arson,10. Arson,5.0,192,197
Maharashtra,2008,TVC- Arson,10. Arson,0.0,698,698
Manipur,2008,TVC- Arson,10. Arson,0.0,0,0
Meghalaya,2008,TVC- Arson,10. Arson,0.0,10,10
Mizoram,2008,TVC- Arson,10. Arson,0.0,32,32
Nagaland,2008,TVC- Arson,10. Arson,0.0,0,0
Odisha,2008,TVC- Arson,10. Arson,0.0,187,187
Tamil Nadu,2008,TVC- Arson,10. Arson,2.0,308,310
West Bengal,2008,TVC- Arson,10. Arson,0.0,83,83
Andhra Pradesh,2009,TVC- Arson,10. Arson,0.0,478,478
Arunachal Pradesh,2009,TVC- Arson,10. Arson,0.0,0,0
Assam,2009,TVC- Arson,10. Arson,5.0,125,130
Bihar,2009,TVC- Arson,10. Arson,0.0,338,338
Chandigarh,2009,TVC- Arson,10. Arson,0.0,0,0
Chhattisgarh,2009,TVC- Arson,10. Arson,32.0,102,134
Gujarat,2009,TVC- Arson,10. Arson,2.0,181,183
Haryana,2009,TVC- Arson,10. Arson,0.0,91,91
Himachal Pradesh,2009,TVC- Arson,10. Arson,0.0,48,48
Jammu & Kashmir,2009,TVC- Arson,10. Arson,0.0,94,94
Jharkhand,2009,TVC- Arson,10. Arson,0.0,94,94
Karnataka,2009,TVC- Arson,10. Arson,12.0,110,122
Madhya Pradesh,2009,TVC- Arson,10. Arson,0.0,889,889
Maharashtra,2009,TVC- Arson,10. Arson,0.0,580,580
Manipur,2009,TVC- Arson,10. Arson,0.0,0,0
Meghalaya,2009,TVC- Arson,10. Arson,0.0,16,16
Nagaland,2009,TVC- Arson,10. Arson,1.0,5,6
Odisha,2009,TVC- Arson,10. Arson,0.0,266,266
Punjab,2009,TVC- Arson,10. Arson,1.0,33,34
Sikkim,2009,TVC- Arson,10. Arson,0.0,4,4
Tamil Nadu,2009,TVC- Arson,10. Arson,6.0,259,265
Tripura,2009,TVC- Arson,10. Arson,0.0,20,20
West Bengal,2009,TVC- Arson,10. Arson,0.0,84,84
Andhra Pradesh,2010,TVC- Arson,10. Arson,0.0,706,706
Arunachal Pradesh,2010,TVC- Arson,10. Arson,0.0,2,2
Assam,2010,TVC- Arson,10. Arson,2.0,84,86
Chandigarh,2010,TVC- Arson,10. Arson,0.0,1,1
Chhattisgarh,2010,TVC- Arson,10. Arson,30.0,111,141
Delhi,2010,TVC- Arson,10. Arson,1.0,6,7
Goa,2010,TVC- Arson,10. Arson,0.0,17,17
Gujarat,2010,TVC- Arson,10. Arson,2.0,212,214
Himachal Pradesh,2010,TVC- Arson,10. Arson,0.0,36,36
Jammu & Kashmir,2010,TVC- Arson,10. Arson,0.0,41,41
Jharkhand,2010,TVC- Arson,10. Arson,0.0,72,72
Karnataka,2010,TVC- Arson,10. Arson,0.0,129,129
Kerala,2010,TVC- Arson,10. Arson,0.0,124,124
Maharashtra,2010,TVC- Arson,10. Arson,0.0,607,607
Manipur,2010,TVC- Arson,10. Arson,0.0,0,0
Meghalaya,2010,TVC- Arson,10. Arson,0.0,5,5
Mizoram,2010,TVC- Arson,10. Arson,6.0,11,17
Nagaland,2010,TVC- Arson,10. Arson,1.0,2,3
Odisha,2010,TVC- Arson,10. Arson,0.0,301,301
Tamil Nadu,2010,TVC- Arson,10. Arson,0.0,222,222
West Bengal,2010,TVC- Arson,10. Arson,2.0,82,84
Andhra Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1391,1391
Arunachal Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,3,3
Assam,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,8.0,176,184
Bihar,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,10.0,2302,2312
Chandigarh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,18,18
Chhattisgarh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,158.0,235,393
Delhi,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,37.0,86,123
Gujarat,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,257,260
Haryana,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,13.0,397,410
Himachal Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,73,73
Jammu & Kashmir,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,299,299
Jharkhand,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,10.0,590,600
Karnataka,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1095,1095
Kerala,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,4.0,147,151
Maharashtra,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,16.0,792,808
Meghalaya,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,9,11
Mizoram,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,10,13
Nagaland,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,5,8
Odisha,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,802,802
Rajasthan,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1771,1771
Sikkim,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,2,3
Tamil Nadu,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,4.0,1750,1754
Uttar Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,5336,5338
Uttarakhand,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,183,186
West Bengal,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,329,330
Andaman & Nicobar Islands,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2,2
Andhra Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1401,1401
Assam,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,148,151
Bihar,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1520,1520
Chandigarh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,16,16
Chhattisgarh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,502.0,363,865
Daman & Diu,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2,2
Delhi,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,138,138
Gujarat,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,399,402
Haryana,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,391,394
Himachal Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,52,52
Jammu & Kashmir,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,321,321
Karnataka,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1124,1124
Madhya Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2579,2579
Maharashtra,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1191,1191
Manipur,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,4,4
Meghalaya,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,10,10
Mizoram,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,4,5
Nagaland,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,13,14
Odisha,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,757,757
Punjab,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,576,576
Rajasthan,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2313,2313
Sikkim,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,6,8
Tamil Nadu,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,51.0,1734,1785
Uttar Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,6372,6372
Uttarakhand,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,203,203
West Bengal,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,305,305
Andaman & Nicobar Islands,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1,1
Andhra Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1322,1322
Arunachal Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1,1
Assam,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,5.0,174,179
Bihar,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2236,2236
Chandigarh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,17,17
Chhattisgarh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,457,457
Daman & Diu,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2,2
Gujarat,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,588,590
Haryana,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,483,486
Himachal Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,66,66
Jammu & Kashmir,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,199,200
Jharkhand,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,982,982
Karnataka,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1377,1377
Kerala,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,198,198
Maharashtra,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,20.0,1202,1222
Meghalaya,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,10,10
Mizoram,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,6.0,13,19
Nagaland,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,10,10
Odisha,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1117,1117
Punjab,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,560,560
Tamil Nadu,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,123.0,1976,2099
Uttar Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,5129,5130
Uttarakhand,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,253,255
West Bengal,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,383,383
Andhra Pradesh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1261,1261
Arunachal Pradesh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,5,5
Assam,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,4.0,177,181
Bihar,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,2445,2446
Chandigarh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,12,12
Chhattisgarh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,22.0,451,473
Daman & Diu,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,3,3
Gujarat,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,5.0,592,597
Haryana,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,439,442
Himachal Pradesh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,72,72
Jammu & Kashmir,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,217,217
Karnataka,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1735,1735
Kerala,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,297,297
Maharashtra,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,4.0,1358,1362
Manipur,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,0,0
Meghalaya,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,8,8
Mizoram,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,50,53
Nagaland,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,33,36
Odisha,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,954,954
Puducherry,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,36,36
Punjab,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,123.0,392,515
Rajasthan,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,2154,2155
Tamil Nadu,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,35.0,1841,1876
Uttar Pradesh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,5575,5576
West Bengal,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,282,282
Andhra Pradesh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1157,1157
Arunachal Pradesh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,4,4
Assam,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,193,195
Bihar,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2769,2769
Chandigarh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,7,7
Chhattisgarh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,178.0,217,395
Gujarat,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,482,485
Haryana,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,449,449
Himachal Pradesh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,78,78
Jammu & Kashmir,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,198,198
Jharkhand,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,36.0,884,920
Karnataka,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,1742,1743
Kerala,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,292,292
Madhya Pradesh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2766,2766
Maharashtra,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,5.0,1232,1237
Manipur,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1,1
Meghalaya,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,10,11
Mizoram,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,3,6
Nagaland,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,59,59
Odisha,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,54.0,887,941
Punjab,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,323,323
Rajasthan,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,1975,1978
Tamil Nadu,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,23.0,2248,2271
Uttar Pradesh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,5814,5814
West Bengal,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,263,263
Andhra Pradesh,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1558,1558
Arunachal Pradesh,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,4,4
Assam,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,4.0,236,240
Bihar,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,41.0,3368,3409
Chandigarh,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,16,16
Chhattisgarh,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,202.0,222,424
Dadra & Nagar Haveli,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2,2
Daman & Diu,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1,1
Gujarat,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,5.0,488,493
Himachal Pradesh,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,60,60
Jammu & Kashmir,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,179,179
Jharkhand,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,5.0,1377,1382
Karnataka,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1256,1256
Maharashtra,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,906,908
Manipur,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1,1
Meghalaya,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,11,11
Mizoram,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,26,26
Nagaland,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,9.0,6,15
Odisha,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,798,798
Tamil Nadu,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,11.0,1641,1652
Uttar Pradesh,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,5250,5250
Uttarakhand,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,86,86
West Bengal,2006,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,448,449
Andhra Pradesh,2007,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1297,1297
Arunachal Pradesh,2007,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,6,6
